,Unnamed: 0,Unnamed: 0.1,sys1,sys,sim,gamma_bcc,gamma_fcc,rho_gm3
46,23849,23849,Al1Ti1V1Cr1Cu1Mo1,AlTiVCrCuMo,0.6715,1.2513951617184669,1.1468957033526024,6.4062351267276885
47,23851,23851,Al1Ti1V1Cr1Cu1Ru1,AlTiVCrCuRu,0.602,1.2162716425384876,1.0894715043911292,6.6478076032280695
48,23853,23853,Al1Ti1V1Cr1Cu1Pd1,AlTiVCrCuPd,0.6016,1.2143430397715245,1.1416910477202122,6.665918592101615
49,23854,23854,Al1Ti1V1Cr1Cu1Ag1,AlTiVCrCuAg,0.6323,1.2452785448378028,1.194886642544051,6.513174854786515
50,23858,23858,Al1Ti1V1Cr1Cu1Ta1,AlTiVCrCuTa,0.6594,1.2470582098105014,1.1014733106073848,7.7887203430666645
53,23868,23868,Al1Ti1V1Cr1Zn1Nb1,AlTiVCrZnNb,0.6526,1.0801709602681917,0.9768447866676776,5.979425304137191
54,23869,23869,Al1Ti1V1Cr1Zn1Mo1,AlTiVCrZnMo,0.6584,1.132057966655169,1.0522518700608898,6.1998831506167384
55,23874,23874,Al1Ti1V1Cr1Zn1Ag1,AlTiVCrZnAg,0.6091,1.053185510990506,1.00677272823562,6.30646106142857
56,23878,23878,Al1Ti1V1Cr1Zn1Ta1,AlTiVCrZnTa,0.642,1.0687959793314912,0.940250880531085,7.537786626081369
57,23923,23923,Al1Ti1V1Cr1Nb1Mo1,AlTiVCrNbMo,0.6779,1.3061770869232765,1.1826000119677589,6.502598086282051
58,23928,23928,Al1Ti1V1Cr1Nb1Ag1,AlTiVCrNbAg,0.6166,1.1862139547126358,1.0903631359252468,6.60095370668067
59,23932,23932,Al1Ti1V1Cr1Nb1Ta1,AlTiVCrNbTa,0.6705,1.249994886352248,1.086457853538615,7.793379019501038
61,23941,23941,Al1Ti1V1Cr1Mo1Ru1,AlTiVCrMoRu,0.6024,1.2550145981767642,1.109375328901994,6.9752779156502225
62,23944,23944,Al1Ti1V1Cr1Mo1Ag1,AlTiVCrMoAg,0.6194,1.254179268089989,1.1818045523047875,6.833654822826321
69,24076,24076,Al1Ti1V1Mn1Fe1Co1,AlTiVMnFeCo,0.6604,1.0090619593645445,0.9463497079374108,5.910125571999998
70,24078,24078,Al1Ti1V1Mn1Fe1Cu1,AlTiVMnFeCu,0.6668,1.100280595045016,1.0224266376911,5.945079698997612
71,24079,24079,Al1Ti1V1Mn1Fe1Zn1,AlTiVMnFeZn,0.6559999999999999,1.006302070319294,0.9459944203006759,5.748189435504585
72,24082,24082,Al1Ti1V1Mn1Fe1Nb1,AlTiVMnFeNb,0.6584,1.1127684771195394,0.9869142472716428,6.0770656619555545
73,24083,24083,Al1Ti1V1Mn1Fe1Mo1,AlTiVMnFeMo,0.6627,1.1039265014349822,0.9895172893038257,6.308627643154285
74,24088,24088,Al1Ti1V1Mn1Fe1Ag1,AlTiVMnFeAg,0.6111,1.0949082769240368,1.0277582678968338,6.417200120942759
75,24092,24092,Al1Ti1V1Mn1Fe1Ta1,AlTiVMnFeTa,0.6448,1.0954723634140369,0.9439323006676026,7.6923951118312965
76,24100,24100,Al1Ti1V1Mn1Co1Ni1,AlTiVMnCoNi,0.6632,1.0496541694901758,0.9923820668510503,6.032506290816076
77,24130,24130,Al1Ti1V1Mn1Ni1Ru1,AlTiVMnNiRu,0.604,1.002808554876351,0.9324803371904854,6.673150682125145
78,24145,24145,Al1Ti1V1Mn1Cu1Zn1,AlTiVMnCuZn,0.6558,1.2219748962926835,1.171233424237015,5.894791041009173
79,24148,24148,Al1Ti1V1Mn1Cu1Nb1,AlTiVMnCuNb,0.6543,1.3487296777438658,1.2083744712236657,6.219106328622221
80,24149,24149,Al1Ti1V1Mn1Cu1Mo1,AlTiVMnCuMo,0.6571,1.351371748801463,1.22986658482587,6.454726614582857
81,24154,24154,Al1Ti1V1Mn1Cu1Ag1,AlTiVMnCuAg,0.6203,1.330357574698487,1.2719828529045978,6.560675541818181
83,24168,24168,Al1Ti1V1Mn1Zn1Nb1,AlTiVMnZnNb,0.6396,1.2510769827494816,1.085466336299101,6.02531059503212
84,24169,24169,Al1Ti1V1Mn1Zn1Mo1,AlTiVMnZnMo,0.6459999999999999,1.2682726023815267,1.1115314451873843,6.246787885324531
85,24178,24178,Al1Ti1V1Mn1Zn1Ta1,AlTiVMnZnTa,0.6283,1.2347899394004331,1.0341837161821033,7.581956145197859
86,24223,24223,Al1Ti1V1Mn1Nb1Mo1,AlTiVMnNbMo,0.6612,1.4729182419546312,1.251388580335924,6.547778117139807
87,24228,24228,Al1Ti1V1Mn1Nb1Ag1,AlTiVMnNbAg,0.6024,1.382754073747124,1.22474980906787,6.645271999748162
89,24244,24244,Al1Ti1V1Mn1Mo1Ag1,AlTiVMnMoAg,0.6058,1.4125584225624384,1.258349033259604,6.878916279913792
91,24376,24376,Al1Ti1V1Fe1Co1Ni1,AlTiVFeCoNi,0.6745,1.1346984362914907,1.0829634500559286,6.080468932386779
92,24377,24377,Al1Ti1V1Fe1Co1Cu1,AlTiVFeCoCu,0.6648,1.032736677745818,0.9739079326206168,6.111738835060532
93,24381,24381,Al1Ti1V1Fe1Co1Nb1,AlTiVFeCoNb,0.6529,1.0878059912922091,0.9964799492629683,6.233872281261259
94,24382,24382,Al1Ti1V1Fe1Co1Mo1,AlTiVFeCoMo,0.662,1.054434195724888,0.9678767393706154,6.473196613858631
95,24384,24384,Al1Ti1V1Fe1Co1Ru1,AlTiVFeCoRu,0.6071,1.1113676821095622,1.0482251299813001,6.7194249736492875
96,24386,24386,Al1Ti1V1Fe1Co1Pd1,AlTiVFeCoPd,0.6007,1.0250250120866116,0.9627680647908854,6.7368475763274835
97,24387,24387,Al1Ti1V1Fe1Co1Ag1,AlTiVFeCoAg,0.6121,1.069177237642698,1.0266124559514709,6.580255742616609
99,24399,24399,Al1Ti1V1Fe1Ni1Cu1,AlTiVFeNiCu,0.6823,1.0199191365788165,0.962527969712134,6.114322037284848
100,24403,24403,Al1Ti1V1Fe1Ni1Nb1,AlTiVFeNiNb,0.6678,1.074863636298236,0.985253973359134,6.236412614160088
101,24404,24404,Al1Ti1V1Fe1Ni1Mo1,AlTiVFeNiMo,0.6759,1.0413490263316032,0.9563064028583558,6.476088260742458
102,24406,24406,Al1Ti1V1Fe1Ni1Ru1,AlTiVFeNiRu,0.6164,1.09714296870762,1.0352350096938032,6.7226738799050985
103,24408,24408,Al1Ti1V1Fe1Ni1Pd1,AlTiVFeNiPd,0.6136,1.0125122798300632,0.951561411851296,6.740075036018733
104,24409,24409,Al1Ti1V1Fe1Ni1Ag1,AlTiVFeNiAg,0.6287,1.0566807554025892,1.0153128214625424,6.583216629567198
108,24421,24421,Al1Ti1V1Fe1Cu1Zn1,AlTiVFeCuZn,0.6642,1.0498493515036451,0.9988479986309016,5.939300968617511
109,24424,24424,Al1Ti1V1Fe1Cu1Nb1,AlTiVFeCuNb,0.6642,1.1635682935602518,1.046690086248766,6.2636731570982125
110,24425,24425,Al1Ti1V1Fe1Cu1Mo1,AlTiVFeCuMo,0.6691,1.1437688669224737,1.0363839528122591,6.501654696624569
111,24427,24427,Al1Ti1V1Fe1Cu1Ru1,AlTiVFeCuRu,0.6098,1.2235998317584598,1.1035563179288437,6.7462056816431915
112,24429,24429,Al1Ti1V1Fe1Cu1Pd1,AlTiVFeCuPd,0.6084,1.1098534422435342,1.0318036223196199,6.763125423823869
113,24430,24430,Al1Ti1V1Fe1Cu1Ag1,AlTiVFeCuAg,0.6356,1.144127063593509,1.0866884812494522,6.607234905028185
117,24444,24444,Al1Ti1V1Fe1Zn1Nb1,AlTiVFeZnNb,0.6445,1.0007055726483636,0.9003774445748078,6.067414568559138
118,24445,24445,Al1Ti1V1Fe1Zn1Mo1,AlTiVFeZnMo,0.6529,1.0418871016600175,0.9602994303137384,6.29103385719337
119,24499,24499,Al1Ti1V1Fe1Nb1Mo1,AlTiVFeNbMo,0.6697,1.2029691756178813,1.0788015702361904,6.591986654619505
120,24504,24504,Al1Ti1V1Fe1Nb1Ag1,AlTiVFeNbAg,0.6142,1.0993482447024996,1.0038624403789185,6.68914612092729
122,24517,24517,Al1Ti1V1Fe1Mo1Ru1,AlTiVFeMoRu,0.6071,1.2660776874564874,1.1269689946810586,7.070685760134982
123,24519,24519,Al1Ti1V1Fe1Mo1Pd1,AlTiVFeMoPd,0.6001,1.1397545158015383,1.0430906097189108,7.082944045288888
124,24520,24520,Al1Ti1V1Fe1Mo1Ag1,AlTiVFeMoAg,0.6196,1.1553284596381983,1.0782216273661214,6.924988918571428
130,24652,24652,Al1Ti1V1Co1Ni1Cu1,AlTiVCoNiCu,0.677,1.0712209910086417,1.0172090727967218,6.236939679020806
131,24653,24653,Al1Ti1V1Co1Ni1Zn1,AlTiVCoNiZn,0.6531,1.033457378981068,1.002838670110813,6.023530103125732
132,24656,24656,Al1Ti1V1Co1Ni1Nb1,AlTiVCoNiNb,0.6625,1.1384566991522838,1.0516911406838767,6.351492634539248
133,24657,24657,Al1Ti1V1Co1Ni1Mo1,AlTiVCoNiMo,0.6734,1.09617783792264,1.0125912209615362,6.596782339297422
134,24659,24659,Al1Ti1V1Co1Ni1Ru1,AlTiVCoNiRu,0.621,1.1481468657912228,1.0878932606563143,6.848476787736526
135,24661,24661,Al1Ti1V1Co1Ni1Pd1,AlTiVCoNiPd,0.6174,1.0676019974187745,1.0092983354921865,6.864406758581559
136,24662,24662,Al1Ti1V1Co1Ni1Ag1,AlTiVCoNiAg,0.6245,1.1206451952878869,1.0838728649833616,6.702676135356319
140,24677,24677,Al1Ti1V1Co1Cu1Nb1,AlTiVCoCuNb,0.6529,1.0034294498006175,0.9046950850422948,6.377832416396395
141,24680,24680,Al1Ti1V1Co1Cu1Ru1,AlTiVCoCuRu,0.6084,1.0412889829487784,0.9735794275571704,6.870890139526065
143,24752,24752,Al1Ti1V1Co1Nb1Mo1,AlTiVCoNbMo,0.6611,1.037923526904914,0.9312300379812056,6.704419011632432
145,24770,24770,Al1Ti1V1Co1Mo1Ru1,AlTiVCoMoRu,0.6085,1.078999215888608,0.994543237909729,7.1930802244721885
148,24911,24911,Al1Ti1V1Ni1Cu1Ru1,AlTiVNiCuRu,0.6234,1.0283152697000302,0.9619939726562774,6.874318719762751
150,24983,24983,Al1Ti1V1Ni1Nb1Mo1,AlTiVNiNbMo,0.6781,1.0259390369119001,0.9209360743510102,6.707366870952379
151,24985,24985,Al1Ti1V1Ni1Nb1Ru1,AlTiVNiNbRu,0.6078,1.0980639502914715,1.0111479549154023,6.941914904707182
154,25001,25001,Al1Ti1V1Ni1Mo1Ru1,AlTiVNiMoRu,0.6199,1.065522708502854,0.9823599796385891,7.196730773590907
161,25138,25138,Al1Ti1V1Cu1Zn1Nb1,AlTiVCuZnNb,0.6516,1.1875968493081226,1.0722170278884755,6.204873278236558
162,25139,25139,Al1Ti1V1Cu1Zn1Mo1,AlTiVCuZnMo,0.6586,1.2565442024473252,1.1728186586890652,6.432289768795578
163,25144,25144,Al1Ti1V1Cu1Zn1Ag1,AlTiVCuZnAg,0.6299,1.1595063048703746,1.1159934164445315,6.535177373246469
164,25148,25148,Al1Ti1V1Cu1Zn1Ta1,AlTiVCuZnTa,0.644,1.1727139071675678,1.0252953721032438,7.768014015853918
166,25193,25193,Al1Ti1V1Cu1Nb1Mo1,AlTiVCuNbMo,0.6715,1.4575045862934042,1.318807832602524,6.729003374876741
167,25195,25195,Al1Ti1V1Cu1Nb1Ru1,AlTiVCuNbRu,0.6014,1.1855638196811715,1.0304972521193088,6.96169162884026
168,25198,25198,Al1Ti1V1Cu1Nb1Ag1,AlTiVCuNbAg,0.6307,1.310615659586192,1.2042379260996203,6.823852759494201
172,25211,25211,Al1Ti1V1Cu1Mo1Ru1,AlTiVCuMoRu,0.6102,1.1664165898781933,1.0203076950373062,7.214483960359953
