,Unnamed: 0,old_ID,sys1,sys,sim,gamma_bcc,gamma_fcc,rho_gm3
4721,4721,226,Al1Sc1Y1Hf1,AlScYHf,0.6775,0.942269860917618,0.8741591192701165,5.813140134117646
4722,4722,227,Al1Sc1Y1Ta1,AlScYTa,0.6404,0.6014233226717536,0.5596428605037275,6.120532468133764
4723,4723,228,Al1Sc1Y1W1,AlScYW,0.5592,0.5133198997709666,0.4931843955368115,6.322367723712706
4724,4724,229,Al1Sc1Y1Re1,AlScYRe,0.5258,0.4909944363388484,0.4792267998701928,6.451326976438968
4725,4725,230,Al1Sc1Y1Os1,AlScYOs,0.5474,0.4718793145731687,0.4658875932279245,6.577671320496613
4726,4726,231,Al1Sc1Y1Ir1,AlScYIr,0.5482,0.5019140202198793,0.4904910281733797,6.600001114819818
4727,4727,232,Al1Sc1Y1Pt1,AlScYPt,0.5171,0.5449523618724833,0.5232699750132386,6.564881322177777
4728,4728,233,Al1Sc1Y1Au1,AlScYAu,0.5388,0.5565947738521583,0.5267014363070952,6.484327331179038
4729,4729,234,Al1Sc1Y1Hg1,AlScYHg,0.5042,0.6464678535718831,0.6199293565543379,6.048178215685482
4730,4730,235,Al1Sc1Zr1Nb1,AlScZrNb,0.7665,0.7982056598929601,0.7054508270306036,5.1275343642460784
4731,4731,236,Al1Sc1Zr1Mo1,AlScZrMo,0.7494,0.6544588556737759,0.6079364989677329,5.350019999950248
4732,4732,237,Al1Sc1Zr1Tc1,AlScZrTc,0.5282,1.1438298936589164,0.8982659896160742,5.480758634589127
4733,4733,238,Al1Sc1Zr1Ru1,AlScZrRu,0.6435,0.6339858367560985,0.601479209967091,5.587569528611464
4734,4734,239,Al1Sc1Zr1Rh1,AlScZrRh,0.6265,0.5675175462800395,0.5525697870865119,5.619225674249363
4735,4735,240,Al1Sc1Zr1Pd1,AlScZrPd,0.6217,0.6804421037851793,0.6314284055532718,5.6219247235678385
4736,4736,241,Al1Sc1Zr1Ag1,AlScZrAg,0.6649,1.0043407982101824,0.893460021597093,5.486697804829268
4737,4737,242,Al1Sc1Zr1Cd1,AlScZrCd,0.6243,0.9705651173330802,0.8839896626580579,5.288442404578034
4738,4738,243,Al1Sc1Zr1La1,AlScZrLa,0.7168,0.8081631341770292,0.7650429514676683,4.896787970664062
4739,4739,244,Al1Sc1Zr1Hf1,AlScZrHf,0.7695,1.240171788883316,1.109270558801593,6.503915229311925
4740,4740,245,Al1Sc1Zr1Ta1,AlScZrTa,0.7271,0.7495420882473045,0.6639721501973315,6.882186612
4741,4741,246,Al1Sc1Zr1W1,AlScZrW,0.617,0.6144238780899393,0.575013980057239,7.128990197970295
4742,4742,247,Al1Sc1Zr1Re1,AlScZrRe,0.5819,0.5820862833420504,0.5584023815305522,7.285824472311557
4743,4743,248,Al1Sc1Zr1Os1,AlScZrOs,0.6092,0.5583411641891651,0.5450234191756045,7.435105297794675
4744,4744,249,Al1Sc1Zr1Ir1,AlScZrIr,0.6238,0.5905127434810972,0.5668733955555084,7.458005410821742
4745,4745,250,Al1Sc1Zr1Pt1,AlScZrPt,0.5994,0.6443193035762945,0.5999626106569772,7.405821270186798
4746,4746,251,Al1Sc1Zr1Au1,AlScZrAu,0.6206,0.6711739175463874,0.6078939397340322,7.299298077362635
4747,4747,252,Al1Sc1Zr1Hg1,AlScZrHg,0.5736,1.0219033952473566,0.8660329758168658,6.746674949675976
