AtomicWeight,BoilingPoint,BulkModulus,el_neg,CovalentRadius,CrustAbundance,Density,FusionHeat,MeltingPoint,MolarVolume,NeutronCrossSection,SpecificHeat,ThermalConductivity,Valence,VaporizationHeat,TM_sim,label
129.0566422,2936.25,190,2.285,138.25,5.50E-09,13842.25,15.65,1432.22,15.275,29.85,212.275,133.25,4.25,367.5,0.781283209,1
196.6841837,3001.35,221.5,2.501,136,8.19E-09,19622.5,13.625,1169.798,16.76,85.395,129.685,282.65,5.15,354,0.796023658,1
196.1656346,2986.1,219,2.488,137.7,8.79E-08,19167.5,13.675,1161.821,17.055,94.79,129.645,306.85,5,350.3,0.555877216,1
182.3640621,2911.1,214,2.449,137.7,1.90E-05,17981,13.53,1148.762,16.68,89.336,165.09,291.1,5,342.3,0.335581089,1
154.619299,3015.79,202.6,2.2761,140.93,5.51E-05,15474.9,15.487,1309.4678,16.072,71.5444,233.471,236.19,5,365.67,0.335581089,1
128.3347866,3114.97,191.8,2.1123,143.99,8.93E-05,13100.7,17.341,1461.7154,15.496,54.6892,298.253,184.17,5,387.81,0.335581089,1
183.8079121,2661.1,205,2.451,134.6,7.80E-06,18084,11.985,999.715,16.82,88.94,154.99,300,4.7,308.9,0.479689961,1
51.9635,1458.5,23,0.9875,180.75,0.03759,1820,8.405,825.75,46.075,0.6225,548.25,158.75,2,150.5,0.831804154,1
63.849,1433,29,0.975,185.5,0.02518,2090,8.27,809.5,49.15,0.815,465.5,117.5,2,146,0.831804154,1
75.7345,1407.5,35,0.9625,190.25,0.01277,2360,8.135,793.25,52.225,1.0075,382.75,76.25,2,141.5,0.831804154,1
106.566,1340,24,1.05,181.5,0.0250014,4060,8.12,830.5,43.4,17.715,392.5,119.5,2.5,157.5,0.519364503,1
139.81,1268,27.5,1.075,184.25,0.0125021,5315,7.91,824.75,43.6,26.3575,273.25,79.25,2.75,158.75,0.519364503,1
57.89263075,2888.6,177,1.847,127.95,4.65E-05,8643.5,16.845,1556.8,11.165,32.085,425.05,99.1,4.3,369.6,0.782996356,1
56.8520665,2850.2,174,1.814,129.9,6.30E-05,8387,17.49,1618.6,11.33,26.97,429.1,98.2,4.6,364.2,0.782996356,1
