AtomicWeight,BoilingPoint,BulkModulus,el_neg,CovalentRadius,CrustAbundance,Density,FusionHeat,MeltingPoint,MolarVolume,NeutronCrossSection,SpecificHeat,ThermalConductivity,Valence,VaporizationHeat,Phase
74.2645,2662.25,150,1.975,133.75,5.10E-05,9725.75,14,1202.19,12.525,4.56,348.3,317.75,2.5,320,0
173.17,4061,175.5,1.79,177,3.65E-06,13900.5,23.05,2417,23.75,484.2,149.5,90.5,4.5,540,1
101.453,2467,84.15,1.415,175.5,9.59E-05,5677,16.05,1366,30.95,2287.53,335.5,22.5,4,314,1
32.1915,1287,31,1.155,158.5,0.0395,1644,8.62,746,33.099,0.2465,825.5,180,2,141.5,1
51.3259,2913.67,157.333,1.74111,135.222,0.0230933,6984.89,17.7,1586.7,12.6444,3.40811,507.333,91.6667,3.88889,369.667,1
186.473,4055,41.5,1.215,204.5,7.30E-06,9182,11.45,1340.5,34.0665,9.4,155.5,33.5,4,430,0
97.8719,4728.2,177.5,1.63,162.85,1.62E-05,9271.5,26.76,2476.45,17.81,22.3425,258.3,58.8,5.05,683.5,0
164.122,1364.5,25.65,1.0475,194,8.71E-05,5805,7.775,796,49.1,26.575,166.75,33.75,2.75,155,0
181.671,5482.25,227.5,1.715,168,1.55E-06,17300,35.75,3118.25,17.55,19.975,138,85.25,5.25,752,0
196.166,2986.1,219,2.488,137.7,8.79E-08,19167.5,13.675,1161.82,17.055,94.79,129.645,306.85,5,350.3,0
59.1292,2968.3,176.512,1.84372,131.907,0.0147117,8361.86,18.2558,1670.21,11.7326,11.1953,427.512,94.3488,3.90698,376.512,1
113.096,2897.5,112,1.56,157.5,1.65E-05,8983,18.05,1496,20.8,101.1,294.5,57.5,3.5,330,1
71.4518,2486,70.5,1.84,126.5,0.135,4820,26.73,785.3,23.05,97.083,471.5,116,3.5,294.5,1
166.432,2270,43.425,1.2375,191,5.70E-07,9044.75,15.3,1497.75,30.6,84.5,165.5,15.5,3,261.25,0
54.6384,2823.94,166.824,1.80765,129.706,0.0196494,7893.41,16.5588,1543.55,11.7529,11.1572,468,99.4706,3.70588,355.824,0
136.034,2661,39.5,1.49,169,2.68E-06,7605.5,6.63,734.8,29.6,24597,236.5,46.5,3,267.5,1
109.1,3137.5,102,1.435,171,9.65E-05,7588,21.35,1703.5,22.2,85.03,328.5,23,4,369,1
100.018,1857.5,53.5,1.355,154,0.0405014,4635,9.2,739.66,30.2,17.6165,529,137,3,226.5,1
80.3847,4128.5,95.825,1.3825,171.25,0.0017475,6010,20.425,1808.25,21.875,1.663,338.5,22.75,4,541.25,0
51.8976,2608.78,147.333,1.71444,133,0.0302856,7172.22,15.1889,1448.37,12.3889,5.02367,505.556,85.1556,3.77778,314.444,1
49.6723,2772.7,137.2,1.712,134.7,0.0233218,6531.9,15.69,1362.43,13.44,7.6066,544.34,129.47,3.6,342.3,1
84.969,4147,212.5,2.035,150.25,3.58E-05,9507.5,32.125,2444,14.65,2.725,300.25,127.75,6,534.75,0
128.018,2236,33.8,1.425,177,0.0001711,5410,7.5,479.465,46,0.96,211,42.5,3,215,1
98.9394,727.5,22.25,1.255,182,3.01E-05,5091,4.245,180.19,57.15,1225.19,297,77,1.5,85.5,1
51.0782,2656.2,145.2,1.756,128.4,0.029044,7170.4,14.22,1278.86,12.5,11.5586,539.6,102.54,3.2,322.6,1
50.3403,2603.17,142.875,1.70792,132.25,0.0334552,6892.71,14.9083,1399.12,12.6521,4.72425,530.458,94.5208,3.72917,313.104,1
51.9803,2820,145.143,1.76143,133.429,0.0215611,7005.57,15.7429,1401.13,13.1143,8.21043,510.2,145.857,3.42857,351,1
84.7054,4331,212.5,2.0275,153.75,4.83E-05,9237.5,32.7,2444.75,15.075,3.215,310.5,112,5.75,563.25,0
59.4193,2925.2,132,2.02,122.2,0.162,6207.2,36.8,1470.36,17.88,2.8596,522,118.4,4,367.4,1
51.9446,2878.5,118.5,1.62,148,2.80E-05,5942.5,16.1,1518,18,32.2,494,58,3.5,346.5,1
111.638,3826.7,388.2,2.272,142.2,8.10E-10,13465,22.63,2070.9,13.73,132,229,143.7,6,508.5,0
138.462,1976.5,43.5,2.07,134,1.45E-05,8622,5.18,178.61,25,1.5355,249,32,3.5,217,1
52.6259,2739.83,151,1.80333,128.667,0.0240647,7423.33,15.4167,1349.99,12.35,3.11217,512.567,165,3,339.167,1
124.9,1748,17.45,0.905,210,0.000345,3290,8,739.5,62.575,1.275,228.75,22.25,2,139.25,0
94.98,3964,165,1.535,133,1.80E-06,9249,21.975,2152,13.095,10.2546,980,123.5,3.5,516.5,1
139.915,2284.5,60.5,2.17,133,5.70E-06,8331.5,18.285,632.88,26.55,1.1855,224.2,47.5,4,256,1
84.8257,3004.5,109,1.795,146,9.61E-05,6710,14.9,1070.96,20.4,2.84,353,49,4.5,371.5,1
102.236,4829.2,190,1.63,162.7,1.53E-05,9815,27.42,2547.9,17.67,10.035,252.2,53.4,5.2,691.5,0
167.612,3819.5,72.55,1.305,181,6.50E-05,13163.5,11.92,1247.5,21.8635,0.942,204,14.5,5,452.5,0
185,4370.95,309.5,2.167,141.95,0.00033,21695.3,25.635,2426.1,14.37,404.055,150.45,143.6,5.9,553.25,0
58.6057,2917,107.5,1.455,152.5,0.0145085,5154,17.75,1563.5,20.599,0.6065,642.5,107,3.5,409,1
55.6183,2661,157.5,1.76,133.75,0.047525,7773,13.65,1465,11.9,5.245,456.5,61.175,3.25,315.25,0
171.724,4012.5,120.5,1.36,181,3.95E-06,12600.5,23.55,2214.5,24.85,485.25,153.5,34,4,508,1
189.591,5066.3,446.8,2.216,145.8,1.12E-07,22265,31.4,3071.9,14.19,15.34,130.2,95.3,6,647,0
